Company,Sector,Stage,Amount,Location,About,Funding Year
Aavas Financiers,Finance,Post-IPO Debt,29200000.0,Jaipur,Aavas Financiers is engaged in the business of providing housing loans primarily in the unserved unreached and underserved market,2018
Swiggy,Food Delivery,Series H,1000000000.0,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants,2018
Milkbasket,E-Commerce,Series A,7000000.0,Haryana,Milkbasket delivers milk bread eggs butter juices and other daily need items every morning right at your doorstep free of charge,2018
Nutrisattva (Proliva),Fitness,Angel,1300000.0,Anand,Nutrisattva is a protein innovation compan,2018
Toppr,Edtech,Series C,35000000.0,Mumbai,Topprcom is an online preparation platform for entrance exams in India,2018
Jagaran Microfin,Financial Services,Debt Financing,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018
Vivriti Capital,Financial Services,Seed,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India,2018
Be U Salons,Apps,Seed,438000.0,New Delhi,Be U is Indias first subscription based Salon Chain,2018
Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,Were a Harvard incubated crowdfunding platform for nonprofits social enterprises startups and individuals,2018
Mobikwik,Consumer Lending,Series E,3504000.0,Gurugram,MobiKwik is a payments backed fintech platform in India MobiKwik App offers instant loans  investment products to the 500M masses of India,2018
Stones2Milestones,E-Learning,Seed,1300000.0,Gurugram,Stones2milestones is a Gurgaon Based Learning Company,2018
Generico,Health Care,Series A,1300000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines,2018
Adiuvo Diagnostics,Health Diagnostics,Seed,1300000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India,2018
Datatrained,Edtech,Seed,1752000.0,Bengaluru,DataTrained is a educational platform which operates an edtech startup on data science,2018
Oneassist,Financial Services,Debt Financing,2400000.0,Mumbai,OneAssist is a protection  assistance services platform,2018
Satin Creditcare Network Limited (Scnl),Banking,Post-IPO Debt,30000000.0,New Delhi,Satin is a nonbanking finance company providing individual loans to urban shopkeepers,2018
Apac Financial Services,Finance,Private Equity,36500000.0,Mumbai,APAC Financial Services is a financial services platform,2018
Moglix,B2B,Series C,23000000.0,Noida,Moglix is a supplier of industrial tools like hand tools power tools electrical and safety equipment,2018
Sedemac Mechatronics,Automotive,Seed,1300000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes controlintensive products for automobiles,2018
Madguy Labs,E-Learning,Seed,150000.0,Hyderabad,MadGuy Labs is a Online Testprep Platform,2018
Dee Dee Labs,Embedded Systems,Seed,1300000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses,2018
Fleeca,Automotive,Seed,1300000.0,Jaipur,FLEECA is a Tyre Care Provider company,2018
Shop101,Apps,Series B,11000000.0,Mumbai,1 Online Selling App Indias leading social commerce platform Setup free online store in 2 min Sell own goods or resell Shop101 Supply,2018
Feedmypockets,Advertising,Seed,642400.0,Bengaluru,On Demand Staffing Platform,2018
Housejoy,Beauty,Series B,3240000.0,Bengaluru,Housejoy is a webbased platform that allows individuals to browse and book service providers for their homes,2018
Ambee,Health Care,Angel,1300000.0,Bengaluru,Ambee is an Environment analytics startup,2018
Foodbuddy,Food Delivery,Seed,876000.0,Belgaum,FoodBuddy is a online food delivery portal providing boundary breaking delivery,2018
Ninjacart,Agtech,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agrimarketing platform that connects vegetables and fruits farmers directly with businesses,2018
Olly Smart Credit Card,Credit Cards,Seed,1300000.0,New Delhi,Olly is a digital credit card for Indias working masses and young people,2018
Zestl,Software,Seed,1300000.0,Pune,NoCode Workflow Automation Build enterprise applications in days with AI Cognitive Automation Collaboration and more built in,2018
Byju’S,Edtech,Private Equity,540000000.0,Bengaluru,BYJUs is an edtech company that is reinventing how students learn through its learning app,2018
Wakefit,Manufacturing,Seed,9490000.0,Bengaluru,Wakefitkart is a mattress manufacturing company We manufacture the best quality mattresses at affordable prices,2018
Hero Electric,Manufacturing,Seed,23360000.0,New Delhi,Hero Electric a 100 subsidiary of the Hero Group is a pioneer in the Indian Electric Vehicle Industry,2018
Pentation Analytics,Information Services,Seed,1300000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite an Insurance specific AIML Software Suite,2018
Perkfinance,Consumer Lending,Seed,900000.0,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018
Roposo,Internet,Series C,10000000.0,Gurugram,Roposo  TV by the People is a unique social media platform where people express visually with homemade videos and photos,2018
Plum Goodness,Beauty,Series A,1300000.0,Thane,Plum Haircare Is SiliconeFree  SulphateFree Designed For Damaged  DandruffFree Hair,2018
Drstore,Hospital,Seed,1300000.0,Mumbai,Drstore is a exclusive e commerce platform,2018
Wow Venue,Events,Seed,1500000.0,Mumbai,Wow Venue is an online platform,2018
Chizel,3D Printing,Seed,1300000.0,Pune,Chizel is a worlds most advanced cloud platform for ondemand manufacturing in 3D Printing and CNC Machining,2018
Oto Capital,Automotive,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever,2018
Boodmo,Automotive,Seed,1022000.0,Gurugram,boodmocom  large online marketplace for auto parts in India,2018
Khabri,Apps,Seed,1300000.0,Haryana,Khabri is a digital audio platform for content in vernacular,2018
Mynewcar.In,Automotive,Seed,1000000.0,Gurugram,MyNewCarin offers new cars at best price with great deals Book a new car online or request a doorstep test drive,2018
Halaplay Technologies,Digital Entertainment,Series A,5000000.0,Bengaluru,A daily fantasy sports platform,2018
Planetspark,E-Learning,Seed,233600.0,Gurugram,PlanetSpark is an afterschool Maths and English learning program for pre teen kids between Grades 2nd to 7th,2018
Wheelsemi,Financial Services,Series B,14000000.0,Pune,WheelsEMI is the brand name of NBFC WheelsEMI Pvt Ltd,2018
Forum For Innovation Incubation Research And Entrepreneurship,Funding Platform,Grant,1496500.0,Margão,FiiRE a technology business incubator helps the startup process to move from the garage to the lab,2018
Oyo,Hospitality,Series E,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels,2018
Quikr,Classifieds,Debt Financing,8030000.0,Bengaluru,Quikr is a free classifieds and online marketplace that helps users sell buy rent or discover anything across India,2018
Tabono,Sports,Seed,1300000.0,Gurugram,Tabono is a one stop environment for all your fitness solution,2018
Learnapp,Banking,Seed,292000.0,Noida,Learnappco  Video courses  live classes in investing trading banking and finance,2018
Shopkirana,E-Commerce,Seed,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation,2018
Fric Bergen,Food,Seed,1300000.0,Alwar,Fric Bergen is a leader in the specialty food industry,2018
Articbot,Artificial Intelligence,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
Buildsupply,Enterprise Resource Planning (Erp),Series A,3650000.0,Gurugram,Indias most advanced ERP system for the real estate,2018
Fusion Microfinance,Banking,Series E,75920000.0,New Delhi,Fusion Microfinance Pvt Ltd is an NBFC registered with RBI,2018
Any Time Doctor,Software,Angel,1300000.0,Chennai,Anytime Doctor is a Software company,2018
Go Payments,Information Services,Corporate Round,1300000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep,2018
Guiddoo World,Audio,Seed,800000.0,Mumbai,We build InDestination Experiences,2018
Ion Energy,Energy,Seed,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems,2018
Unotag,Artificial Intelligence,Pre-Seed,100000.0,Bengaluru,SaaS to verify counterfeit,2018
Civilcops,Government,Pre-Seed,100000.0,Gurugram,GovTech,2018
Rockmetric,Information Technology,Grant,1300000.0,Mumbai,Smarter analytics to understand how each customer uses your product Drive growth in conversion retention and engagement,2018
Classworks India,Education,Seed,1460.0,Chennai,Saas Web App Mobile App School Education,2018
Snapmint,Consumer Lending,Seed,1300000.0,Mumbai,Snapmint facilitates simplified fairlypriced and hasslefree EMI options without a Credit Card,2018
Artbandhu,Digital Media,Pre-Seed,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Seed,500000.0,Bengaluru,Stethoscope for customer feedback ,2018
